r2	cor	mean	median	rmse	num_genes
0.8091347431879664	0.8996671719059133	6.300172521044907	4.818988376402068	8.510358224607504	50
0.8601523668517479	0.9277145969707992	5.469946867222302	4.171283157249368	7.284704858264102	100
0.8606045206536402	0.9283570758048224	5.520415106131341	3.995174319698865	7.272918910905566	150
0.8420460026806288	0.9180438729229127	5.8057613776094295	3.8665987482845985	7.74193839419613	200
0.8327102787383699	0.9128425210401842	5.955372386155197	3.9453815794093146	7.967444178479293	250
0.8316162975262642	0.9123785832493433	5.912535808526497	4.216337154667979	7.9934530412870854	300
0.8333653315652176	0.9132812161050349	5.8692855667749	3.9426196733193244	7.951829901951835	350
0.8291637505468693	0.9108747037444624	5.861961974688061	4.252511018059373	8.05145583095194	400
0.8265905445234232	0.9093958756367329	5.852148763978744	4.372934707154563	8.111866372679335	450
0.820973555625734	0.9063782185817607	5.92606135584721	4.1019394833408285	8.24219706095875	500
0.817005893082426	0.9041959055118315	6.002696443967797	3.9900110499284125	8.333030140548214	550
0.8149195543503103	0.9029987480420925	5.977154364594458	4.1398607739050775	8.380398470282772	600
0.8149905008276395	0.9030073271957563	5.933845261570039	3.9760413114317776	8.378792096533413	650
0.8196893233086031	0.9056488731054189	5.838400864927966	3.8724265783233385	8.271706615162763	700
0.8199517712639678	0.9057457761336575	5.81315150330012	3.9069686713059113	8.26568455630675	750
0.8168548293653881	0.9039838124736025	5.858265927953245	4.129507083489584	8.336468936592919	800
0.8148085550559168	0.9028718158314777	5.88600639503651	4.0524363187895025	8.382911104408619	850
0.8168672290560366	0.9040348261770593	5.835201593869832	4.03105774225158	8.336186724986536	900
0.8114522164197482	0.9010042387657542	5.936121548889391	3.995869456300296	8.45853433233138	950
0.8121975556290506	0.9014236837841639	5.928741086002353	4.028747963339937	8.441799263909246	1000
0.8116721305505322	0.9011030616823356	5.9325024293126765	4.083933798283155	8.45360005544153	1050
0.8092906135822063	0.8998017533174486	5.979147984744097	4.144557098961426	8.506882516537127	1100
0.8067461541520851	0.8983618287912695	6.01482667204967	4.091555295214599	8.563444222273999	1150
0.8057328933654725	0.8978791194759387	6.0406839855399745	3.9670648242501647	8.585864625302252	1200
0.8036821388892027	0.8966949781779634	6.072196837537369	4.062427837891204	8.631063414939367	1250
0.8024977552572585	0.8960580166314835	6.1215716412990915	4.072758903102236	8.657059823178663	1300
0.8032309596735268	0.8964831347775749	6.099515077342356	3.919799157479094	8.640975711182426	1350
0.7996382017214458	0.8945031296469533	6.14148354556432	3.9007494346028864	8.719505602947669	1400
0.8016991045308982	0.8956106829475825	6.124224565874009	3.908449251005983	8.674545679159245	1450
0.7976638273501686	0.8933707720569178	6.1782011983064	3.9760991718162515	8.762361490323023	1500
0.795784612534834	0.8923056703697233	6.225006140687103	4.181045186505003	8.802958044688456	1550
0.7959298210095556	0.8924005284484284	6.226268998727634	4.057422610750439	8.799827792270703	1600
0.7940842507371582	0.8913616968226961	6.253010440538043	4.121165800689679	8.839530178834643	1650
0.7938733318835762	0.8912577506518966	6.247240521866187	4.052961757662971	8.8440561716053665	1700
0.7946636410969505	0.8917158455784627	6.2217655507328855	4.1176035530183945	8.82708541364032	1750
0.7943941352496163	0.8915525086226362	6.249550078175908	4.284834649619016	8.832876329237722	1800
0.7967616796076317	0.8929102658390461	6.232409461029557	4.303786895703787	8.781873950113525	1850
0.7933214613287743	0.8909754728992839	6.284447390434706	4.258717179034676	8.855887517173889	1900
0.791906132710752	0.8902144913141237	6.31677666358345	4.312346056825361	8.886158212378348	1950
0.7928232702264246	0.8907221555081952	6.3088204393600424	4.287834601315785	8.866554490379054	2000
